Time,SizeInBytes,SizeRun,TypeOfDS,tFind5,tFind10,tFind20,tFind40,tFind80,tFindLog,tFind800,Log
40,27.151,800,CST,3620,840,790,760,770,3749,3870,10
38,27.151,800,CST,1730,680,680,670,960,1820,810,10
36,27.151,800,CST,1110,610,620,660,620,3510,720,10
36,27.151,800,CST,2020,860,850,840,850,3090,960,10
37,27.151,800,CST,1970,740,700,700,710,1890,820,10
88,27.153,1600,CST,1790,740,710,670,670,1790,790,11
39,27.153,1600,CST,1420,650,640,680,630,1560,820,11
38,27.153,1600,CST,1660,640,620,600,600,1660,790,11
50,27.153,1600,CST,3140,1120,1430,1100,1120,2640,1390,11
40,27.153,1600,CST,1829,780,780,770,810,1910,880,11
91,27.156,3200,CST,1340,640,610,610,650,1520,730,12
37,27.156,3200,CST,1440,600,580,590,1090,1820,790,12
36,27.156,3200,CST,1430,630,610,610,610,1590,730,12
36,27.156,3200,CST,1480,609,600,600,610,1520,810,12
37,27.156,3200,CST,1440,630,610,610,610,1600,770,12
90,27.162,6400,CST,1360,620,610,630,660,1670,820,13
36,27.162,6400,CST,1390,610,610,590,600,1700,800,13
39,27.162,6400,CST,1740,740,720,710,700,1790,1020,13
45,27.162,6400,CST,1500,850,620,620,640,1580,740,13
38,27.162,6400,CST,1600,580,580,580,560,1450,860,13
88,27.175,12800,CST,1380,620,610,600,600,1590,710,14
36,27.175,12800,CST,1350,610,600,610,600,1500,720,14
37,27.175,12800,CST,1330,590,590,580,560,1830,770,14
36,27.175,12800,CST,1330,640,610,600,610,1590,820,14
37,27.175,12800,CST,1470,630,600,610,600,1620,720,14
90,27.201,25600,CST,2200,1250,1130,1010,1190,3030,1410,15
36,27.201,25600,CST,1910,1280,1230,1380,1010,2260,1630,15
36,27.201,25600,CST,1600,720,700,710,710,1950,819,15
37,27.201,25600,CST,1310,610,610,610,600,1780,790,15
37,27.201,25600,CST,1880,700,680,650,660,1780,770,15
89,27.251,51200,CST,1350,580,600,570,570,1730,680,16
37,27.251,51200,CST,1980,710,730,660,680,1760,830,16
36,27.251,51200,CST,1920,710,710,670,680,1650,920,16
36,27.251,51200,CST,1950,710,700,700,710,1920,820,16
37,27.251,51200,CST,1660,570,600,580,570,1630,870,16
78,27.354,102400,CST,2230,960,920,940,890,2550,1490,17
28,27.354,102400,CST,2050,720,700,710,720,1770,880,17
27,27.354,102400,CST,1890,710,720,700,730,2090,1000,17
28,27.354,102400,CST,1680,1100,1260,930,1030,2010,1270,17
29,27.354,102400,CST,1900,660,630,630,630,1510,870,17
77,27.558,204800,CST,3040,1720,1710,1670,1630,3780,2530,18
28,27.558,204800,CST,1870,700,700,670,720,1850,960,18
27,27.558,204800,CST,1930,730,720,710,720,1830,900,18
27,27.558,204800,CST,1450,590,600,600,610,1510,800,18
27,27.558,204800,CST,2220,1250,1330,1140,1130,2970,1330,18
76,27.968,409600,CST,3340,2030,2030,1940,1960,4370,2430,19
29,27.968,409600,CST,1370,680,690,690,680,1830,870,19
27,27.968,409600,CST,1920,730,680,700,830,1890,1130,19
27,27.968,409600,CST,1890,830,810,810,820,2400,1140,19
27,27.968,409600,CST,1250,620,610,610,610,1640,800,19
76,28.787,819200,CST,3410,1820,1810,1830,1830,3960,2220,20
28,28.787,819200,CST,1250,630,700,680,610,1530,810,20
26,28.787,819200,CST,1550,630,600,600,660,1530,820,20
26,28.787,819200,CST,1570,610,600,600,610,1530,880,20
26,28.787,819200,CST,980,580,580,590,590,1490,790,20
91,30.426,1638400,CST,1440,620,600,580,580,1950,880,21
38,30.426,1638400,CST,1430,640,600,610,600,1710,880,21
27,30.426,1638400,CST,1700,610,590,640,590,1520,880,21
38,30.426,1638400,CST,1700,580,590,790,590,1800,880,21
38,30.426,1638400,CST,1480,620,600,620,610,1560,920,21
87,34.845,3276800,CST,1550,650,610,600,610,1700,1060,22
37,34.845,3276800,CST,2080,630,620,610,610,1660,980,22
38,34.845,3276800,CST,1760,610,600,600,600,1440,820,22
38,34.845,3276800,CST,1390,630,630,620,620,1480,1060,22
39,34.845,3276800,CST,1470,600,610,610,620,1500,730,22
90,44.675,6553600,CST,1240,590,590,570,580,2040,870,23
38,44.675,6553600,CST,1520,630,650,660,610,1540,970,23
38,44.675,6553600,CST,1340,620,620,610,610,1530,810,23
38,44.675,6553600,CST,1420,650,610,620,600,2100,900,23
38,44.675,6553600,CST,1390,600,610,630,620,1520,1250,23
95,64.336,13107200,CST,1300,610,600,590,600,1510,870,24
49,53.363,13107200,CST,1330,620,620,630,610,1560,840,24
49,53.363,13107200,CST,1360,620,580,590,580,1570,950,24
49,53.363,13107200,CST,1760,590,600,590,590,1530,880,24
48,53.363,13107200,CST,1530,670,780,1100,1690,3110,1340,24
